,电影,评分,链接,类型,地区,上映地点,时长(min),上映时间
187,怨灵2,7.0,http://maoyan.com/films/672091,"恐怖,惊悚,悬疑","中国大陆,马来西亚,泰国",大陆上映,89.0,2017.0
188,神奇女侠,8.6,http://maoyan.com/films/247731,"动作,冒险,奇幻",美国,大陆上映,142.0,2017.0
189,银河护卫队2,9.0,http://maoyan.com/films/248683,"动作,冒险,科幻",美国,大陆上映,136.0,2017.0
190,苏丹,0.0,http://maoyan.com/films/439495,"剧情,运动",印度,大陆上映,143.0,2018.0
191,美食大冒险,0.0,http://maoyan.com/films/334625,"动画,动作",中国大陆,大陆上映,90.0,2018.0
192,大寒,0.0,http://maoyan.com/films/493549,"剧情,战争",中国大陆,大陆上映,110.0,2018.0
195,金珠玛米,7.9,http://maoyan.com/films/1208644,"西部,爱情,战争",中国大陆,大陆上映,97.0,2017.0
196,看不见的客人,9.4,http://maoyan.com/films/458721,"犯罪,悬疑,惊悚",西班牙,大陆上映,107.0,2017.0
197,钟馗传奇之岁寒三友,7.1,http://maoyan.com/films/443356,"动画,奇幻,历史",中国大陆,大陆上映,90.0,2017.0
199,美国行动,0.0,http://maoyan.com/films/249168,"喜剧,动作,犯罪",美国,大陆上映,115.0,2018.0
200,红月亮之武陵山歌,0.0,http://maoyan.com/films/1212772,剧情,中国大陆,大陆上映,104.0,2018.0
202,金刚：骷髅岛,8.3,http://maoyan.com/films/249898,"动作,冒险,奇幻",美国,大陆上映,119.0,2017.0
204,烽火芳菲,8.0,http://maoyan.com/films/343985,"爱情,战争,历史","中国大陆,丹麦",大陆上映,97.0,2017.0
205,请以你的名字呼唤我,8.5,http://maoyan.com/films/409801,"剧情,爱情","意大利,法国,巴西,美国",圣丹斯电影节上映,130.0,2017.0
206,爱的帕斯卡,0.0,http://maoyan.com/films/1212248,剧情,中国大陆,大陆上映,97.0,2017.0
208,绣春刀II：修罗战场,8.5,http://maoyan.com/films/341189,"动作,古装,武侠",中国大陆,大陆上映,120.0,2017.0
210,冒牌监护人之寻宝闹翻天,7.5,http://maoyan.com/films/668587,"喜剧,动作",中国大陆,大陆上映,92.0,2017.0
212,爱丽丝梦游仙境,0.0,http://maoyan.com/films/1212506,"剧情,冒险,舞台艺术",英国,:00大陆上映,120.0,2017.0
214,异形：契约,6.8,http://maoyan.com/films/78888,"恐怖,惊悚,科幻",美国,大陆上映,116.0,2017.0
215,墨玉太极,0.0,http://maoyan.com/films/1212354,"恐怖,惊悚",中国大陆,大陆上映,90.0,2017.0
217,闪光少女,9.2,http://maoyan.com/films/1132316,"剧情,喜剧,音乐",中国大陆,大陆上映,103.0,2017.0
218,记忆大师,8.6,http://maoyan.com/films/345672,"剧情,悬疑,犯罪",中国大陆,大陆上映,119.0,2017.0
219,维京:王者之战,6.7,http://maoyan.com/films/438338,"动作,战争",俄罗斯,大陆上映,128.0,2017.0
220,守边人,0.0,http://maoyan.com/films/1211064,剧情,中国,大陆上映,90.0,2017.0
223,毕业旅行笑翻天,0.0,http://maoyan.com/films/1208343,"喜剧,爱情",中国大陆,大陆上映,98.0,2018.0
224,常在你左右,7.2,http://maoyan.com/films/1200664,"恐怖,惊悚,悬疑",中国香港,:01大陆上映,96.0,2017.0
225,十八洞村,8.5,http://maoyan.com/films/1209085,剧情,中国大陆,大陆上映,124.0,2017.0
227,王牌保镖,8.9,http://maoyan.com/films/344055,"喜剧,动作,犯罪",美国,大陆上映,112.0,2017.0
228,你的名字。,9.2,http://maoyan.com/films/344881,"动画,爱情,奇幻",日本,大陆上映,107.0,2016.0
229,侠盗联盟,8.1,http://maoyan.com/films/1183619,"动作,犯罪,冒险",中国大陆,大陆上映,108.0,2017.0
231,A测试,0.0,http://maoyan.com/films/342178,"剧情,爱情,冒险",中国大陆,大陆上映,105.0,2018.0
232,拆弹·专家,9.0,http://maoyan.com/films/346103,"动作,悬疑,犯罪","中国香港,中国大陆",大陆上映,120.0,2017.0
233,暴雪将至,7.0,http://maoyan.com/films/346511,"剧情,悬疑,犯罪",中国大陆,大陆上映,118.0,2017.0
234,长城,8.4,http://maoyan.com/films/246267,"剧情,冒险,奇幻","美国,中国大陆",大陆上映,104.0,2016.0
235,相爱相亲,8.8,http://maoyan.com/films/346641,"剧情,爱情","中国大陆,中国台湾",大陆上映,120.0,2017.0
236,湄公河行动,9.3,http://maoyan.com/films/338391,"剧情,动作,犯罪","中国大陆,中国香港",大陆上映,124.0,2016.0
237,小兵张嘎,0.0,http://maoyan.com/films/610697,"动画,战争",中国大陆,大陆上映,116.0,2018.0
238,财迷,0.0,http://maoyan.com/films/1197465,剧情,中国大陆,大陆上映,108.0,2018.0
239,西游伏妖篇,7.7,http://maoyan.com/films/248904,"喜剧,动作,奇幻",中国大陆,大陆上映,108.0,2017.0
